Full URL,Page Type / AEM Template,Taxonomy: Pillar,Taxonomy: Need states,Taxonomy: Product families,Taxonomy: Product capabilities,Taxonomy: Platforms,Taxonomy: Services and advisory,Taxonomy: Insight and thought leader content type,Taxonomy: Topic,Taxonomy: Theme,Taxonomy: Regulatory and operating context,Taxonomy: Vehicle type/segment,Taxonomy: Industry/Sector,Taxonomy: Audience role,Taxonomy: Workflow stage,Taxonomy: Content formats,Taxonomy: Asset attributes,Taxonomy: Campaign type,Taxonomy: Brand/ data source,Taxonomy: Market - sales region,Taxonomy: Market - region,Taxonomy: Market - Country
https://www.spglobal.com/automotive-insights/en/blogs/2023/1/ev-chargers-how-many-do-we-need,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,EV charging infrastructure|EV adoption,Electric vehicle industry,,,/Automotive OEMs,/Product planner|/Government / policy maker,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/1/fuel-for-thought-automotive-supply-chain-and-technology-themes,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,,Automotive supply chain|Supply chain resilience,,,/Automotive suppliers and supply chain,/Supply chain analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/1/tesla-share-of-ev-market-declines-domestics-koreans-and-europe,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Competitive landscape|EV adoption,Electric vehicle industry,,,/Automotive OEMs,/Market analyst|/Competitive intelligence,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/10/3cylinder-engine-installations-rising-in-us-though-4-cylinders,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Automotive parts and components,Automotive industry forecast and analysis,,,/Automotive OEMs|/Automotive suppliers and supply chain,/Product planner|/Technical specialists,,/Short-form article,,,,North America,North America,United States
https://www.spglobal.com/automotive-insights/en/blogs/2023/10/dont-count-out-hybrids-just-yet,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Technology and innovation,Automotive industry forecast and analysis,,,/Automotive OEMs,/Product planner,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/10/fuel-for-thought-waiting-for-autonomy,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Autonomous vehicles and ADAS,Future of mobility,,,/Automotive OEMs,/Product planner|/Technical specialists,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/10/tesla-is-most-popular-ev-brand-for-us-fleet-companies,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Competitive landscape,Automotive industry forecast and analysis|Electric vehicle industry,,,/Fleet management and leasing,/Fleet manager,,/Short-form article,,,,North America,North America,United States
https://www.spglobal.com/automotive-insights/en/blogs/2023/10/us-consumers-going-big-as-fullsize-suvs-gain-share,Blog or Automotive Insights,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Market segmentation insights|Automotive consumer demand,Automotive consumer trends,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,North America,North America,United States
https://www.spglobal.com/automotive-insights/en/blogs/2023/11/affordability-tops-charging-and-range-concerns-in-slowing-ev-d,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,EV adoption|Pricing trends|Consumer behavior insights,Electric vehicle industry,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/11/fuel-for-thought-the-vehicle-affordability-crunch,Blog or Automotive Insights,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Pricing trends|Consumer behavior insights,Automotive consumer trends,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/11/gigacasting-the-hottest-trend-in-car-manufacturing,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Automotive parts and components,Automotive industry forecast and analysis,,,/Automotive OEMs|/Automotive suppliers and supply chain,/Product planner|/Technical specialists,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/12/2024-ev-forecast-the-supply-chain-charging-network-and-battery,Blog or Automotive Insights,Planning solutions,,,,,,/Data and forecasts|/Analysis and reports,,Automotive industry forecast and analysis|Supply chain resilience|Electric vehicle industry|Automotive supply chain,,,/Automotive OEMs|/Automotive suppliers and supply chain,/Product planner|/Market analyst|/Supply chain analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/12/american-honda-sees-a-share-rebound,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Competitive landscape|Market segmentation insights,Automotive industry forecast and analysis,,,/Automotive OEMs|/Automotive dealers and retailers,/Market analyst|/Competitive intelligence,,/Short-form article,,,,North America,North America,United States
https://www.spglobal.com/automotive-insights/en/blogs/2023/12/fuel-for-thought-connected-cars-and-the-automotive-revolution,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Connected cars and vehicles|Software defined vehicles (SDV),Future of mobility|Software-defined vehicles,,,/Automotive OEMs|/Automotive suppliers and supply chain,/OEM strategist|/Product planner,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/12/sp-global-mobility-forecasts-883m-auto-sales-in-2024,Blog or Automotive Insights,Planning solutions,,,,,,/Data and forecasts|/Market news and updates,Automotive industry forecast and analysis,Automotive industry forecast and analysis,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/12/tesla-fuels-electrification-of-us-luxury-vehicles-segment-shar,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,EV adoption|Market segmentation insights|Competitive landscape,Electric vehicle industry,,,/Automotive OEMs,/Market analyst|/Competitive intelligence,,/Short-form article,,,,North America,North America,United States
https://www.spglobal.com/automotive-insights/en/blogs/2023/12/when-will-car-leasing-be-cool-again,Blog or Automotive Insights,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Consumer behavior insights|Pricing trends,Automotive consumer trends,,,/Automotive dealers and retailers|/Fleet management and leasing,/Dealer / retailer|/Leasing / financial services,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/2/can-carmakers-assail-teslas-lead-in-ee-architecture,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Competitive landscape,Software-defined vehicles,,,/Automotive OEMs,/Competitive intelligence|/Technical specialists,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/2/car-brands-popular-with-women,Blog or Automotive Insights,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Demographic trends|Consumer behavior insights,Automotive consumer trends,,,/Automotive OEMs,/Marketing and media agencies,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/2/fuel-for-thought-the-old-way-of-selling-cars-wont-work-anymore,Blog or Automotive Insights,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Consumer behavior insights,Future of mobility,,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/2/the-sedan-debate,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Market segmentation insights|Automotive consumer demand,Automotive consumer trends,,,/Automotive OEMs,/Product planner|/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/2/women-not-buying-electric-vehicles,Blog or Automotive Insights,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,EV adoption|Consumer behavior insights|Demographic trends,Automotive consumer trends,,,/Automotive OEMs,/Marketing and media agencies,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/3/america-road-tax-electric-vehicles-ceraweek,Blog or Automotive Insights,Planning solutions,,,,,,/Market news and updates|/Analysis and reports,Regulations and compliance,Electric vehicle industry,/Policy,,/Automotive OEMs,/Government / policy maker,,/Short-form article,,,,North America,North America,United States
https://www.spglobal.com/automotive-insights/en/blogs/2023/3/the-evolution-of-the-ev-consumer,Blog or Automotive Insights,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,EV adoption|Consumer behavior insights,Automotive consumer trends,,,/Automotive OEMs,/Market analyst|/Marketing and media agencies,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/4/be-ready-for-the-coming-shift-in-automotive-computing-power,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Automotive semiconductors|Software defined vehicles (SDV),Software-defined vehicles|Supply chain resilience,,,/Automotive OEMs|/Automotive suppliers and supply chain,/Technical specialists|/Product planner,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/5/ford-and-chevrolet-brand-loyalty-depends-on-pickups,Blog or Automotive Insights,Sales solutions,,Loyalty,,,,/Analysis and reports|/Market news and updates,Loyalty,Automotive consumer trends,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/5/fuel-for-thought-as-the-industry-goes-electric-expect-shakeout,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,EV adoption|Market volatility trends,Electric vehicle industry,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/5/fuel-for-thought-auto-safety-systems-calibration-challenges-repair-modification,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Autonomous vehicles and ADAS,Software-defined vehicles,/Safety regulations,,/Automotive aftermarket|/Automotive OEMs,/Aftermarket provider|/Technical specialists,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/5/how-general-motors-maintains-its-loyalty-lead-amid-declining-s,Blog or Automotive Insights,Sales solutions,,Loyalty,,,,/Analysis and reports|/Market news and updates,Loyalty,Automotive consumer trends,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/5/premium-audio-enters-the-mass-market,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Automotive parts and components,Automotive industry forecast and analysis|Automotive supply chain,,,/Automotive OEMs|/Automotive suppliers and supply chain,/Product planner|/Technical specialists,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/5/tesla-minority-group-loyalty,Blog or Automotive Insights,Sales solutions,,Loyalty,,,,/Analysis and reports|/Market news and updates,Demographic trends|Loyalty,Automotive consumer trends,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/5/why-vw-needs-scout,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Automotive industry forecast and analysis,Automotive industry forecast and analysis,,,/Automotive OEMs,/OEM strategist|/Competitive intelligence,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/6/autofinance-delinquencies-rise-past-great-recession-peak-but,Blog or Automotive Insights,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,,Automotive industry forecast and analysis|Automotive consumer trends,,,/Fleet management and leasing,/Leasing / financial services,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/6/china-exported-more-than-3-million-vehicles-in-22,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,,Automotive industry forecast and analysis,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,Greater China,Greater China,Mainland China
https://www.spglobal.com/automotive-insights/en/blogs/2023/6/fuel-for-thought-the-transformation-of-auto-retail,Blog or Automotive Insights,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends,Future of mobility,,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/6/with-mobile-phone-semiconductor-demand-cooling-automotive-chip,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Automotive semiconductors,Automotive supply chain|Supply chain resilience,,,/Automotive suppliers and supply chain|/Automotive OEMs,/Supply chain analyst|/Procurement,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/7/commercial-vehicle-forecast-mdhd-truck-market-coasts,Blog or Automotive Insights,Planning solutions,,,,,,/Data and forecasts|/Market news and updates,,Automotive industry forecast and analysis|Commercial vehicle market,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/7/consumer-loyalty-to-finance-companies-fell-sharply,Blog or Automotive Insights,Sales solutions,,Loyalty,,,,/Analysis and reports|/Market news and updates,Loyalty,Automotive consumer trends,,,/Fleet management and leasing,/Leasing / financial services,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/7/fuel-for-thought-the-commercial-vehicle-fleet-accelerates,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Automotive industry forecast and analysis,Commercial vehicle market,,,/Fleet management and leasing,/Fleet manager,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/7/july-us-auto-inventory-trends-you-should-know,Blog or Automotive Insights,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Automotive industry forecast and analysis,Automotive industry forecast and analysis,,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,,North America,North America,United States
https://www.spglobal.com/automotive-insights/en/blogs/2023/7/the-semiconductor-shortage-is-mostly-over-for-the-auto-industry,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Automotive semiconductors,Automotive supply chain|Supply chain resilience,,,/Automotive suppliers and supply chain|/Automotive OEMs,/Supply chain analyst|/Procurement,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/7/what-connectedcar-services-are-consumers-willing-to-pay-for,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Connected cars and vehicles|Consumer behavior insights|Pricing trends,Future of mobility,,,/Automotive OEMs,/Product planner|/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/8/asean-sales-production-commentary-august-2023,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Vehicle production forecasts,Automotive industry forecast and analysis,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/8/fuel-for-thought-warning-signs-on-the-path-to-mass-ev-adoption,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,EV adoption|Market volatility trends,Electric vehicle industry,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/8/incar-gaming-key-players-developments-and-outlook,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Connected cars and vehicles,Future of mobility,,,/Automotive OEMs|/Automotive suppliers and supply chain,/Product planner|/Technical specialists,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/9/autonomous-vehicle-reality-check-widespread-adoption,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Autonomous vehicles and ADAS,Future of mobility,,,/Automotive OEMs|/Automotive suppliers and supply chain,/Product planner|/Technical specialists,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/9/fuel-for-thought-ev-marketing-challenges-vehicle-portfolio-grows,Blog or Automotive Insights,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,EV adoption|Dealer and retail trends,Electric vehicle industry,,,/Automotive OEMs|/Automotive dealers and retailers,/Marketing and media agencies|/Dealer / retailer,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2023/9/what-do-tesla-owners-buy-when-they-return-to-market,Blog or Automotive Insights,Sales solutions,,Loyalty,,,,/Analysis and reports|/Market news and updates,Consumer behavior insights,Automotive consumer trends,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2024/1/2024-us-presidential-election-and-the-auto-industry,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Regulations and compliance,Automotive industry forecast and analysis,/Policy,,/Automotive OEMs,/Government / policy maker,,/Short-form article,,,,North America,North America,United States
https://www.spglobal.com/automotive-insights/en/blogs/2024/1/ev-raw-materials-supply-crunch-battery-recycling,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Automotive supply chain disruption and resilience,EV battery technology|Supply chain resilience|Automotive supply chain,,,/Automotive suppliers and supply chain|/Automotive OEMs,/Supply chain analyst|/Procurement,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2024/1/january-2024-us-auto-sales-feel-the-chill,Blog or Automotive Insights,Planning solutions,,,,,,/Data and forecasts|/Market news and updates,Automotive industry forecast and analysis,Automotive industry forecast and analysis,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,North America,North America,United States
